accX_mean,accX_std,accX_min,accX_max,accY_mean,accY_std,accY_min,accY_max,accZ_mean,accZ_std,accZ_min,accZ_max,gyroX_mean,gyroX_std,gyroX_min,gyroX_max,gyroY_mean,gyroY_std,gyroY_min,gyroY_max,gyroZ_mean,gyroZ_std,gyroZ_min,gyroZ_max,label
-2574.3636363636365,1273.945073674669,-5248.0,-116.0,-6601.090909090909,8698.569542434354,-16484.0,5148.0,14536.0,6185.371790446109,4860.0,22828.0,-1995.6363636363637,16.318189179478576,-2032.0,-1952.0,2018.1136363636363,2074.657676620064,-1109.0,6188.0,-639.25,770.0554231035339,-2502.0,1768.0,scissors
-2747.0588235294117,1455.3749401685423,-5172.0,1124.0,-5432.549019607844,8604.92811431618,-16752.0,5740.0,15556.627450980392,5631.121714048753,3976.0,22932.0,-1994.3529411764705,21.896870579525075,-2032.0,-1936.0,1723.7058823529412,1598.045697645942,-1005.0,4456.0,-397.0980392156863,891.2169938887378,-2544.0,2236.0,scissors
-1595.1020408163265,1195.154178423889,-4116.0,2384.0,-4304.081632653061,8543.859841617093,-16344.0,5208.0,15992.326530612245,6084.39149719645,4372.0,22292.0,-1995.7551020408164,23.042108747035375,-2048.0,-1952.0,1800.938775510204,2056.2408602447663,-1280.0,5472.0,-634.795918367347,1092.8389821086757,-5423.0,952.0,scissors
-2229.132075471698,1279.6238335141827,-5116.0,120.0,-4841.962264150943,8376.112908747535,-16124.0,5016.0,16269.132075471698,5070.939671825877,6016.0,23404.0,-1989.433962264151,16.881384187188907,-2032.0,-1968.0,1437.5094339622642,1766.0024242365266,-1617.0,6157.0,-439.39622641509436,895.1652047704044,-2478.0,1249.0,scissors
-2196.3076923076924,1396.0472706539892,-5384.0,996.0,-4752.692307692308,8863.899154277115,-16476.0,5548.0,15793.76923076923,6119.690081270406,4160.0,22180.0,-1994.4615384615386,18.16963804279917,-2032.0,-1952.0,1756.5384615384614,1982.814205860522,-2887.0,5257.0,-380.65384615384613,957.3325663184852,-2658.0,2046.0,scissors
-2495.0833333333335,1245.450270338613,-4268.0,1228.0,-5349.916666666667,8376.380327872124,-16520.0,5184.0,15374.5,6230.161017010101,3188.0,21556.0,-1990.3333333333333,18.885245094239668,-2032.0,-1952.0,1912.5,1911.0328498462525,-1394.0,5220.0,-275.3333333333333,714.8004135460986,-1694.0,2346.0,scissors
-2139.5714285714284,1800.344803915909,-4820.0,2836.0,-6481.071428571428,8049.371850946209,-16504.0,4996.0,15077.714285714286,5981.89592844119,1580.0,21948.0,-1990.2857142857142,17.967358571197217,-2032.0,-1952.0,1739.25,1309.9710649129204,-879.0,3834.0,-185.46428571428572,676.6524544815043,-1615.0,1904.0,scissors
-2452.222222222222,1179.3913953781685,-4492.0,376.0,-3187.8888888888887,8779.440736427603,-16408.0,6088.0,16312.222222222223,5839.942930793129,3076.0,23072.0,-1988.0,16.83533698589284,-2016.0,-1952.0,2896.75,2797.953602954437,-2122.0,6918.0,-173.22222222222223,939.1370236586082,-2524.0,2572.0,scissors
-1519.4166666666667,1178.1280469607118,-3376.0,1892.0,-4750.75,8900.36545866923,-16524.0,5732.0,15749.166666666666,6231.505181149658,2364.0,24316.0,-1980.6666666666667,18.948231078201147,-2016.0,-1952.0,2136.6666666666665,1951.8351902578963,-1723.0,5311.0,-333.5,985.8439952541798,-4480.0,1345.0,scissors
-2954.6046511627906,1830.107336684757,-8060.0,1096.0,-2278.9767441860463,9190.073116161735,-16380.0,7008.0,16489.674418604653,5945.731929475727,4376.0,23768.0,-1979.5348837209303,16.497256391246946,-2016.0,-1936.0,1961.8139534883721,2920.4260717835414,-5191.0,7059.0,-548.046511627907,1119.0331914199178,-3048.0,3069.0,scissors
-2484.0,1563.2761977936705,-6040.0,1312.0,-2585.714285714286,8370.197568022579,-15972.0,6420.0,17313.485714285714,5285.236270368,5516.0,23820.0,-1979.4285714285713,20.37629204028359,-2016.0,-1920.0,2510.0857142857144,2733.7190824678273,-4972.0,6788.0,-174.8,1093.5701327734394,-2098.0,2816.0,scissors
-3158.051282051282,1445.919375140332,-6524.0,1492.0,-2620.2051282051284,8354.335121674027,-16036.0,7184.0,17207.79487179487,4618.560536628196,4884.0,22868.0,-1977.4358974358975,21.628191728919177,-2016.0,-1936.0,2409.923076923077,1846.6904306241217,-1753.0,4876.0,-296.6666666666667,699.1540878779807,-1780.0,1816.0,scissors
-2214.1176470588234,2127.0509692723285,-6080.0,3812.0,-6654.980392156863,8402.721610264607,-16236.0,4656.0,13739.607843137255,7815.2163478138755,-1668.0,22456.0,-1974.9019607843138,20.801206601503466,-2016.0,-1920.0,1976.921568627451,2019.6638417631507,-3517.0,5201.0,-328.2549019607843,890.1725640152533,-2682.0,1214.0,scissors
-2503.5555555555557,1843.1996334876178,-5724.0,1984.0,-4690.4,8581.188110152241,-16456.0,5820.0,15661.244444444445,6167.6163553735005,4028.0,22712.0,-1974.4,16.501239622855884,-2016.0,-1936.0,2143.8444444444444,1968.2863330544387,-1129.0,5830.0,-386.46666666666664,942.6476397505447,-3604.0,1589.0,scissors
-1860.3703703703704,1762.611658941809,-5692.0,2164.0,-6046.888888888889,8657.918122380026,-16588.0,5116.0,14458.814814814816,7152.010916779884,1156.0,22832.0,-1973.037037037037,21.938991706387558,-2032.0,-1936.0,1710.2407407407406,1985.0720051118262,-1171.0,6416.0,-353.25925925925924,1229.4042150445282,-4060.0,2926.0,scissors
-553.5757575757576,4701.535381063716,-9608.0,10308.0,-413.3333333333333,2612.8590981273114,-5844.0,2408.0,20013.696969696968,2756.4152499765037,15036.0,25800.0,-1884.121212121212,20.01211754125106,-1936.0,-1856.0,-739.8484848484849,3769.7045069973,-8555.0,5767.0,-222.5151515151515,1582.1293231198763,-3091.0,3376.0,stone
